,state,state_abbr,handle,revenue,hold,taxes,start_month,state_taxes_on_gambling,ways_to_bet,population total 18+,Revenue Per Person
30,New Hampshire,NH,"$2,332,620,247.00","$176,569,358.00",7.57%,"$80,991,042.00",2019-12-01,Yes,Online & In-Person,"1,132,738.0",$155.88
31,New Jersey,NJ,"$38,874,252,674.00","$2,810,406,278.00",7.23%,"$389,084,890.00",2018-06-01,Yes,Online & In-Person,"7,246,254.0",$387.84
32,New Mexico,NM,$nan,$nan,nan%,$nan,,Yes,In-Person Only,"1,644,069.0",$nan
33,Nevada,NV,"$33,520,083,581.00","$1,885,621,000.00",5.63%,"$127,279,433.00",2018-06-01,Yes,Online & In-Person,"2,446,372.0",$770.78
34,New York,NY,"$25,545,018,524.00","$2,231,885,589.00",8.74%,"$1,116,577,862.00",2019-07-01,Yes,Online & In-Person,"15,732,347.0",$141.87
35,Ohio,OH,"$3,824,758,134.00","$541,598,207.00",14.16%,"$54,280,486.00",2023-01-01,Yes,Online & In-Person,"9,176,607.0",$59.02
36,Oklahoma,OK,$nan,$nan,nan%,$nan,,Yes,none,"3,028,701.0",$nan
37,Oregon,OR,"$1,254,314,057.00","$120,810,711.00",9.63%,"$60,405,367.00",2019-10-01,Yes,Online & In-Person,"3,387,489.0",$35.66
38,Pennsylvania,PA,"$22,428,431,602.00","$1,816,885,232.00",8.10%,"$450,711,089.00",2018-11-01,Yes,Online & In-Person,"10,289,829.0",$176.57
39,Rhode Island,RI,"$1,707,470,362.00","$152,391,731.00",8.93%,"$77,719,780.00",2018-11-01,Yes,Online & In-Person,"887,289.0",$171.75
40,South Carolina,SC,$nan,$nan,nan%,$nan,,Yes,none,"4,074,709.0",$nan
41,South Dakota,SD,"$13,834,303.00","$1,704,950.00",12.32%,"$153,445.00",2021-09-01,No,In-Person Only,"674,755.0",$2.53
42,Tennessee,TN,"$9,066,781,322.00","$886,312,510.00",9.78%,"$157,367,429.00",2020-11-01,No,Online Only,"5,437,603.0",$163.00
43,Texas,TX,$nan,$nan,nan%,$nan,,No,none,"22,071,394.0",$nan
44,Utah,UT,$nan,$nan,nan%,$nan,,No,none,"2,392,518.0",$nan
45,Virginia,VA,"$10,748,305,916.00","$1,037,483,246.00",9.65%,"$106,594,917.00",2021-01-01,Yes,Online & In-Person,"6,760,456.0",$153.46
46,Vermont,VT,$nan,$nan,nan%,$nan,,Yes,Pending Online,"528,803.0",$nan
47,Washington,WA,$nan,$nan,nan%,$nan,,No,In-Person Only,"6,062,910.0",$nan
48,Wisconsin,WI,$nan,$nan,nan%,$nan,,Yes,In-Person Only,"4,621,303.0",$nan
49,West Virginia,WV,"$2,029,410,102.00","$169,520,828.00",8.35%,"$16,953,995.00",2018-08-01,Yes,Online & In-Person,"1,421,567.0",$119.25
50,Wyoming,WY,"$260,463,925.00","$26,680,402.00",10.24%,"$1,436,140.00",2021-09-01,No,Online Only,"447,274.0",$59.65
